Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Status
custom-photo-slate-coaster-single,"Custom Photo Slate Coaster — Single","<p>Transform your favorite photo into a stunning laser-engraved slate coaster. Our precision engraving process captures incredible detail on premium natural slate, creating a one-of-a-kind keepsake that's both functional and meaningful.</p><h3>Features</h3><ul><li>Premium natural slate with unique texture</li><li>High-contrast laser engraving</li><li>4"" x 4"" square (approximately)</li><li>Cork backing to protect surfaces</li><li>Heat and moisture resistant</li></ul><h3>Personalization</h3><p>After ordering, visit our Custom Upload page to submit your photo. We'll send a digital proof for your approval before production.</p><h3>Care Instructions</h3><p>Wipe clean with a damp cloth. Avoid submerging in water.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, photo, custom, personalized, slate, single, gift",TRUE,,,,,SC-PHOTO-SINGLE,227,shopify,50,deny,manual,15.00,,TRUE,TRUE,,Custom photo engraved slate coaster,Custom Photo Slate Coaster | LayerLaunch Laser Labs,Transform your favorite photo into a laser-engraved natural slate coaster. Premium quality custom engraving made to order in Michigan.,active
custom-photo-slate-coaster-set-4,"Custom Photo Slate Coaster — Set of 4","<p>Create a matching set of four stunning photo-engraved slate coasters. Perfect for gifts, home décor, or commemorating special memories. Each coaster features the same custom photo engraving on premium natural slate.</p><h3>Features</h3><ul><li>Set of 4 matching coasters</li><li>Premium natural slate with unique texture</li><li>High-contrast laser engraving</li><li>4"" x 4"" square each (approximately)</li><li>Cork backing to protect surfaces</li><li>Heat and moisture resistant</li></ul><h3>Personalization</h3><p>After ordering, visit our Custom Upload page to submit your photo. We'll send a digital proof for your approval before production. All 4 coasters will feature the same design.</p><h3>Care Instructions</h3><p>Wipe clean with a damp cloth. Avoid submerging in water.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, photo, custom, personalized, slate, set, gift, bestseller",TRUE,,,,,SC-PHOTO-SET4,908,shopify,30,deny,manual,50.00,60.00,TRUE,TRUE,,Set of 4 custom photo engraved slate coasters,Custom Photo Slate Coaster Set of 4 | LayerLaunch Laser Labs,Set of 4 matching photo-engraved natural slate coasters. Premium custom engraving perfect for gifts. Made to order in Michigan.,active
michigan-themed-slate-coaster-single,"Michigan Themed Slate Coaster — Single","<p>Show your Michigan pride with our beautifully engraved Michigan-themed slate coasters. Choose from designs featuring the Great Lakes State outline, Upper Peninsula, iconic landmarks, or local city maps.</p><h3>Features</h3><ul><li>Premium natural slate with unique texture</li><li>High-contrast laser engraving</li><li>4"" x 4"" square (approximately)</li><li>Cork backing to protect surfaces</li><li>Heat and moisture resistant</li></ul><h3>Available Designs</h3><p>Select your preferred Michigan design during checkout, or browse our Design Library for more options.</p><h3>Care Instructions</h3><p>Wipe clean with a damp cloth. Avoid submerging in water.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, michigan, state, local, slate, single, gift",TRUE,Design,Michigan State Outline,,,SC-MI-OUTLINE,227,shopify,40,deny,manual,12.00,,TRUE,TRUE,,Michigan state outline engraved slate coaster,Michigan Themed Slate Coaster | LayerLaunch Laser Labs,Show your Michigan pride with beautifully engraved slate coasters featuring Great Lakes State designs. Made in Michigan.,active
michigan-themed-slate-coaster-single,,,,,,,TRUE,Design,Upper Peninsula,,,SC-MI-UP,227,shopify,40,deny,manual,12.00,,TRUE,TRUE,,,,,
michigan-themed-slate-coaster-single,,,,,,,TRUE,Design,Great Lakes Map,,,SC-MI-LAKES,227,shopify,40,deny,manual,12.00,,TRUE,TRUE,,,,,
michigan-themed-slate-coaster-set-4,"Michigan Themed Slate Coaster — Set of 4","<p>The perfect gift for any Michigan lover! This set of 4 matching slate coasters features your choice of Michigan-themed designs, beautifully laser-engraved on premium natural slate.</p><h3>Features</h3><ul><li>Set of 4 matching coasters</li><li>Premium natural slate with unique texture</li><li>High-contrast laser engraving</li><li>4"" x 4"" square each (approximately)</li><li>Cork backing to protect surfaces</li></ul><h3>Available Designs</h3><p>All 4 coasters feature the same design. Select your preferred Michigan theme during checkout.</p><h3>Care Instructions</h3><p>Wipe clean with a damp cloth. Avoid submerging in water.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, michigan, state, local, slate, set, gift",TRUE,Design,Michigan State Outline,,,SC-MI-SET4-OUTLINE,908,shopify,25,deny,manual,40.00,48.00,TRUE,TRUE,,Set of 4 Michigan themed slate coasters,Michigan Themed Slate Coaster Set of 4 | LayerLaunch Laser Labs,Set of 4 matching Michigan-themed slate coasters. Perfect gift for Great Lakes State lovers. Made in Michigan.,active
michigan-themed-slate-coaster-set-4,,,,,,,TRUE,Design,Upper Peninsula,,,SC-MI-SET4-UP,908,shopify,25,deny,manual,40.00,48.00,TRUE,TRUE,,,,,
michigan-themed-slate-coaster-set-4,,,,,,,TRUE,Design,Great Lakes Map,,,SC-MI-SET4-LAKES,908,shopify,25,deny,manual,40.00,48.00,TRUE,TRUE,,,,,
golf-course-slate-coaster-single,"Golf Course Map Slate Coaster — Single","<p>Commemorate your favorite golf course with a custom-engraved course map on premium natural slate. Perfect for golf enthusiasts, this coaster features a detailed aerial view of any golf course you specify.</p><h3>Features</h3><ul><li>Premium natural slate with unique texture</li><li>Detailed course layout engraving</li><li>4"" x 4"" square (approximately)</li><li>Cork backing to protect surfaces</li><li>Heat and moisture resistant</li></ul><h3>Personalization</h3><p>Specify your golf course name and location in the order notes. We'll create a custom course map design and send a proof for your approval.</p><h3>Care Instructions</h3><p>Wipe clean with a damp cloth. Avoid submerging in water.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, golf, course, map, custom, slate, single, gift, sports",TRUE,,,,,SC-GOLF-SINGLE,227,shopify,35,deny,manual,18.00,,TRUE,TRUE,,Golf course map engraved slate coaster,Golf Course Map Slate Coaster | LayerLaunch Laser Labs,Custom golf course map engraved on premium natural slate. Perfect gift for golfers. Specify any course.,active
golf-course-slate-coaster-set-4,"Golf Course Map Slate Coaster — Set of 4","<p>The ultimate gift for the golf lover in your life! This set of 4 matching slate coasters features a detailed engraving of any golf course you specify, creating a unique and memorable keepsake.</p><h3>Features</h3><ul><li>Set of 4 matching coasters</li><li>Premium natural slate with unique texture</li><li>Detailed course layout engraving</li><li>4"" x 4"" square each (approximately)</li><li>Cork backing to protect surfaces</li></ul><h3>Personalization</h3><p>Specify your golf course name and location in the order notes. We'll create a custom course map design and send a proof for your approval. All 4 coasters feature the same course.</p><h3>Care Instructions</h3><p>Wipe clean with a damp cloth. Avoid submerging in water.</p>",LayerLaunch Laser Labs,Home & Garden > Kitchen & Dining > Barware > Coasters,Coaster,"coaster, golf, course, map, custom, slate, set, gift, sports, bestseller",TRUE,,,,,SC-GOLF-SET4,908,shopify,20,deny,manual,60.00,72.00,TRUE,TRUE,,Set of 4 golf course map slate coasters,Golf Course Map Slate Coaster Set of 4 | LayerLaunch Laser Labs,Set of 4 custom golf course map coasters on premium slate. Perfect gift for golfers. Specify any course.,active
